,CWD_Status,Case_ID,Province,Sex,Species
8142,Negative,9621,Alberta,Female,White-tailed Deer
8143,Negative,9622,Alberta,Female,White-tailed Deer
8144,Negative,9623,Alberta,Female,White-tailed Deer
8145,Negative,9624,Alberta,Female,White-tailed Deer
8146,Negative,9625,Alberta,Female,White-tailed Deer
8147,Negative,9626,Alberta,Female,White-tailed Deer
8148,Negative,9627,Alberta,Female,White-tailed Deer
8149,Negative,9628,Alberta,Female,White-tailed Deer
8150,Negative,9629,Alberta,Female,White-tailed Deer
8151,Negative,9630,Alberta,Female,White-tailed Deer
8152,Negative,9631,Alberta,Female,White-tailed Deer
8153,Negative,9632,Alberta,Female,White-tailed Deer
8154,Negative,9633,Alberta,Female,White-tailed Deer
8155,Negative,9634,Alberta,Female,White-tailed Deer
8156,Negative,9635,Alberta,Female,White-tailed Deer
8157,Negative,9636,Alberta,Female,White-tailed Deer
8158,Negative,9637,Alberta,Female,White-tailed Deer
8159,Negative,9638,Alberta,Female,White-tailed Deer
8160,Negative,9639,Alberta,Female,White-tailed Deer
8161,Negative,9640,Alberta,Female,White-tailed Deer
8162,Negative,9641,Alberta,Female,White-tailed Deer
8163,Negative,9642,Alberta,Female,White-tailed Deer
8164,Negative,9643,Alberta,Female,White-tailed Deer
8165,Negative,9644,Alberta,Female,White-tailed Deer
8166,Negative,9645,Alberta,Female,White-tailed Deer
8167,Negative,9646,Alberta,Female,White-tailed Deer
8168,Negative,9647,Alberta,Female,White-tailed Deer
8169,Negative,9648,Alberta,Female,White-tailed Deer
8170,Negative,9649,Alberta,Female,White-tailed Deer
8171,Negative,9650,Alberta,Female,White-tailed Deer
8172,Negative,9651,Alberta,Female,White-tailed Deer
8173,Negative,9652,Alberta,Female,White-tailed Deer
8174,Negative,9653,Alberta,Female,White-tailed Deer
8175,Negative,9654,Alberta,Female,White-tailed Deer
8176,Negative,9655,Alberta,Female,White-tailed Deer
8177,Negative,9656,Alberta,Female,White-tailed Deer
8178,Negative,9657,Alberta,Female,White-tailed Deer
8179,Negative,9658,Alberta,Female,White-tailed Deer
8180,Negative,9659,Alberta,Female,White-tailed Deer
8181,Negative,9660,Alberta,Female,White-tailed Deer
8182,Negative,9661,Alberta,Female,White-tailed Deer
8183,Negative,9662,Alberta,Female,White-tailed Deer
8184,Negative,9663,Alberta,Female,White-tailed Deer
8185,Negative,9664,Alberta,Female,White-tailed Deer
8186,Negative,9665,Alberta,Female,White-tailed Deer
8187,Negative,9666,Alberta,Female,White-tailed Deer
8188,Negative,9667,Alberta,Female,White-tailed Deer
8189,Negative,9668,Alberta,Female,White-tailed Deer
8190,Negative,9669,Alberta,Female,White-tailed Deer
8191,Negative,9670,Alberta,Female,White-tailed Deer
8192,Negative,9671,Alberta,Female,White-tailed Deer
8193,Negative,9672,Alberta,Female,White-tailed Deer
8194,Negative,9673,Alberta,Female,White-tailed Deer
8195,Negative,9674,Alberta,Female,White-tailed Deer
8196,Negative,9675,Alberta,Female,White-tailed Deer
8197,Negative,9676,Alberta,Female,White-tailed Deer
8198,Negative,9677,Alberta,Female,White-tailed Deer
8199,Negative,9678,Alberta,Female,White-tailed Deer
8200,Negative,9679,Alberta,Female,White-tailed Deer
8201,Negative,9680,Alberta,Female,White-tailed Deer
8202,Negative,9681,Alberta,Female,White-tailed Deer
8203,Negative,9682,Alberta,Female,White-tailed Deer
8204,Negative,9683,Alberta,Female,White-tailed Deer
8205,Negative,9684,Alberta,Female,White-tailed Deer
8206,Negative,9685,Alberta,Female,White-tailed Deer
8207,Negative,9686,Alberta,Female,White-tailed Deer
8208,Negative,9687,Alberta,Female,White-tailed Deer
8209,Negative,9688,Alberta,Female,White-tailed Deer
8210,Negative,9689,Alberta,Female,White-tailed Deer
8211,Negative,9690,Alberta,Female,White-tailed Deer
8212,Negative,9691,Alberta,Female,White-tailed Deer
8213,Negative,9692,Alberta,Female,White-tailed Deer
8214,Negative,9693,Alberta,Female,White-tailed Deer
8215,Negative,13244,Alberta,Male,Mule Deer
8216,Negative,19156,Alberta,Male,White-tailed Deer
8217,Negative,19157,Alberta,Male,White-tailed Deer
8218,Negative,19158,Alberta,Male,White-tailed Deer
8219,Negative,19159,Alberta,Male,White-tailed Deer
8220,Negative,19160,Alberta,Male,White-tailed Deer
8221,Negative,19161,Alberta,Male,White-tailed Deer
8222,Negative,19162,Alberta,Male,White-tailed Deer
8223,Negative,19163,Alberta,Male,White-tailed Deer
8224,Negative,19164,Alberta,Male,White-tailed Deer
8225,Negative,19165,Alberta,Male,White-tailed Deer
8226,Negative,19721,Alberta,Male,White-tailed Deer
8227,Negative,19722,Alberta,Male,White-tailed Deer
8228,Negative,19723,Alberta,Male,White-tailed Deer
8229,Negative,19724,Alberta,Male,White-tailed Deer
