Case_ID,Province,Harvest Type,ObsDate,Month_Obs,Year_Obs,Easting,Northing,Species,Sex,CWD Status
30032,Saskatchewan,Hunter,2005-11-11 0:00,11,2005,578827.5506,5828411.411,Mule Deer,Female,Negative
30033,Saskatchewan,Hunter,2005-11-02 0:00,11,2005,573371.882,5828326.406,Mule Deer,Female,Negative
30034,Saskatchewan,Hunter,2005-11-02 0:00,11,2005,612877.4148,5829079.712,Mule Deer,Female,Negative
30035,Saskatchewan,Hunter,2005-11-05 0:00,11,2005,573371.882,5828326.406,Mule Deer,Female,Negative
30036,Saskatchewan,Hunter,2005-11-02 0:00,11,2005,573371.882,5828326.406,Mule Deer,Female,Negative
30037,Saskatchewan,Hunter,2005-11-28 0:00,11,2005,577409.2594,5828852.294,Mule Deer,Female,Negative
30038,Saskatchewan,Hunter,2005-11-12 0:00,11,2005,587661.0889,5829025.567,Mule Deer,Female,Negative
30039,Saskatchewan,Hunter,2005-11-14 0:00,11,2005,583573.2754,5829035.486,Mule Deer,Female,Negative
30040,Saskatchewan,Hunter,2005-11-10 0:00,11,2005,579530.5421,5828967.97,Mule Deer,Male,Negative
30041,Saskatchewan,Hunter,2005-11-22 0:00,11,2005,574662.9222,5829692.156,Mule Deer,Female,Negative
30042,Saskatchewan,Hunter,2005-11-16 0:00,11,2005,574662.9222,5829692.156,Mule Deer,Female,Negative
30043,Saskatchewan,Hunter,2005-11-29 0:00,11,2005,574662.9222,5829692.156,Mule Deer,Female,Negative
30044,Saskatchewan,Hunter,2005-11-17 0:00,11,2005,582370.6518,5830324.206,Mule Deer,Female,Negative
30045,Saskatchewan,Hunter,2005-11-17 0:00,11,2005,582370.6518,5830324.206,Mule Deer,Female,Negative
30046,Saskatchewan,Hunter,2005-11-17 0:00,11,2005,582370.6518,5830324.206,Mule Deer,Female,Negative
30047,Saskatchewan,Hunter,2005-11-05 0:00,11,2005,582370.6518,5830324.206,Mule Deer,Female,Negative
30049,Saskatchewan,Hunter,2005-11-04 0:00,11,2005,582370.6518,5830324.206,Mule Deer,Female,Negative
30050,Saskatchewan,Hunter,2005-11-01 0:00,11,2005,582370.6518,5830324.206,Mule Deer,Female,Negative
30051,Saskatchewan,Hunter,2005-11-18 0:00,11,2005,588399.3773,5830733.788,Mule Deer,Male,Negative
30052,Saskatchewan,Hunter,2005-11-05 0:00,11,2005,581234.6162,5830768.746,Mule Deer,Female,Negative
30053,Saskatchewan,Hunter,2005-11-11 0:00,11,2005,599285.8134,5831102.609,Mule Deer,Female,Negative
30054,Saskatchewan,Hunter,2005-11-25 0:00,11,2005,575311.4615,5830673.749,Mule Deer,Female,Negative
30055,Saskatchewan,Hunter,2005-11-17 0:00,11,2005,574650.9672,5830818.123,Mule Deer,Female,Negative
30056,Saskatchewan,Hunter,2005-11-24 0:00,11,2005,590821.5036,5831092.276,Mule Deer,Male,Negative
30057,Saskatchewan,Hunter,2005-11-11 0:00,11,2005,577654.5503,5831174.039,Mule Deer,Female,Negative
30058,Saskatchewan,Hunter,2005-11-10 0:00,11,2005,573894.1618,5831115.646,Mule Deer,Female,Negative
30059,Saskatchewan,Hunter,2005-11-17 0:00,11,2005,575304.3096,5831137.204,Mule Deer,Male,Negative
30060,Saskatchewan,Hunter,2005-11-11 0:00,11,2005,581226.9017,5831232.197,Mule Deer,Female,Negative
30061,Saskatchewan,Hunter,2005-11-11 0:00,11,2005,584047.1664,5831279.959,Mule Deer,Female,Negative
30062,Saskatchewan,Hunter,2005-11-18 0:00,11,2005,578406.6257,5831186.065,Mule Deer,Female,Negative
30063,Saskatchewan,Hunter,2005-11-26 0:00,11,2005,573023.2531,5831102.536,Mule Deer,Female,Negative
30064,Saskatchewan,Hunter,2005-11-26 0:00,11,2005,601250.5139,5831606.614,Mule Deer,Female,Negative
30065,Saskatchewan,Hunter,2005-11-11 0:00,11,2005,573894.1618,5831115.646,Mule Deer,Female,Negative
30066,Saskatchewan,Hunter,2005-11-11 0:00,11,2005,575304.3096,5831137.204,Mule Deer,Female,Negative
30067,Saskatchewan,Hunter,2005-11-12 0:00,11,2005,573894.1618,5831115.646,Mule Deer,Female,Negative
30068,Saskatchewan,Hunter,2005-11-05 0:00,11,2005,575586.3389,5831141.564,Mule Deer,Female,Negative
30069,Saskatchewan,Hunter,2005-11-05 0:00,11,2005,581226.9017,5831232.197,Mule Deer,Female,Negative
30070,Saskatchewan,Hunter,2005-11-04 0:00,11,2005,584611.2179,5831289.707,Mule Deer,Female,Negative
30071,Saskatchewan,Hunter,2005-11-05 0:00,11,2005,581226.9017,5831232.197,Mule Deer,Female,Negative
30072,Saskatchewan,Hunter,2005-11-12 0:00,11,2005,587572.4713,5831531.101,Mule Deer,Female,Negative
30073,Saskatchewan,Hunter,2005-11-01 0:00,11,2005,584337.2049,5831474.107,Mule Deer,Female,Negative
