id,province,case_id,species,sex,cwd_status
439,Saskatchewan,30361,"White-tailed Deer",Female,Negative
440,Saskatchewan,30362,"White-tailed Deer",Female,Negative
441,Saskatchewan,30363,"White-tailed Deer",Female,Negative
442,Saskatchewan,30364,"White-tailed Deer",Female,Negative
443,Saskatchewan,30365,"White-tailed Deer",Female,Negative
444,Saskatchewan,30366,"White-tailed Deer",Female,Negative
445,Saskatchewan,30367,"White-tailed Deer",Female,Negative
446,Saskatchewan,30368,"White-tailed Deer",Male,Negative
447,Saskatchewan,30369,"White-tailed Deer",Female,Negative
448,Saskatchewan,30370,"White-tailed Deer",Female,Negative
449,Saskatchewan,30371,"White-tailed Deer",Female,Negative
450,Saskatchewan,30372,"White-tailed Deer",Female,Negative
451,Saskatchewan,30373,"White-tailed Deer",Female,Negative
452,Saskatchewan,30374,"White-tailed Deer",Female,Negative
453,Saskatchewan,30375,"White-tailed Deer",Female,Negative
454,Saskatchewan,30376,"White-tailed Deer",Male,Negative
455,Saskatchewan,30377,"White-tailed Deer",Female,Negative
456,Saskatchewan,30378,"White-tailed Deer",Female,Negative
457,Saskatchewan,30379,"White-tailed Deer",Female,Negative
458,Saskatchewan,30380,"White-tailed Deer",Female,Negative
459,Saskatchewan,30381,"White-tailed Deer",Female,Negative
460,Saskatchewan,30382,"White-tailed Deer",Female,Negative
461,Saskatchewan,30383,"White-tailed Deer",Male,Negative
462,Saskatchewan,30384,"White-tailed Deer",Male,Negative
463,Saskatchewan,30386,"White-tailed Deer",Female,Negative
464,Saskatchewan,30387,"White-tailed Deer",Male,Negative
465,Saskatchewan,30388,"White-tailed Deer",Male,Negative
466,Saskatchewan,30389,"White-tailed Deer",Male,Negative
467,Saskatchewan,30390,"White-tailed Deer",Female,Negative
468,Saskatchewan,30391,"White-tailed Deer",Female,Negative
469,Saskatchewan,30392,"White-tailed Deer",Male,Negative
470,Saskatchewan,30393,"White-tailed Deer",Female,Negative
