id,province,sex,species,cwd_status,population
362,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
363,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
364,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
365,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
366,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
367,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
368,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
369,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
370,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
371,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
372,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
373,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
374,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
375,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
376,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
377,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
378,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
379,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
380,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
381,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
382,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
383,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
384,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
385,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
386,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
387,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
388,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
389,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
390,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
391,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
392,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
393,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
394,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
395,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
396,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
397,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
398,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
399,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
400,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
401,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
402,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
403,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
404,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
405,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
406,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
407,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
408,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
409,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
410,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
